,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
107,best,101.0,427497,엔씨,40.0,9.98,4078,1
108,best,101.0,285181,서률,47.0,9.93,332,0
109,best,101.0,541017,언정이,65.0,9.96,1255,0
110,best,101.0,388934,릴리로즈,22.0,9.85,6872,1
111,best,101.0,298787,꿈꾸는 돼냥이,162.0,9.96,4122,0
112,best,101.0,518861,김혜윰(뽕시꽁시),13.0,9.99,5779,8
113,best,101.0,492903,요귀염이,12.0,9.99,3484,0
114,best,101.0,527904,카타르지나,40.0,9.92,2415,0
115,best,101.0,330701,이솔Sol,8.0,9.99,5373,0
116,best,101.0,492933,래아來峨,74.0,9.99,4697,0
117,best,101.0,406141,호텔아프리카,6.0,9.98,1233,0
118,best,101.0,531428,배누리*,6.0,9.99,5649,0
119,best,101.0,429866,가을s,131.0,9.98,3738,0
120,best,101.0,331186,곤붕(鯤鵬),8.0,9.95,2318,0
121,best,101.0,500996,양아썬,135.0,9.98,4797,0
122,best,101.0,396814,귀여운 언니,127.0,9.98,3919,0
123,best,101.0,71386,보령,9.0,9.72,925,0
124,best,101.0,284661,초콜릿악마,107.0,9.96,15962,0
125,best,101.0,224412,초콜릿악마,89.0,9.96,10398,0
126,best,101.0,365390,초콜릿악마,137.0,9.97,12699,0
127,best,101.0,531464,어글리마카롱,78.0,10.0,2435,2
128,best,101.0,465054,서이나,61.0,9.97,3250,2
129,best,101.0,332617,리 렐,42.0,9.46,3687,0
130,best,101.0,526284,하예진(몰라양),10.0,9.92,3759,0
131,best,101.0,469641,호텔아프리카,5.0,9.87,609,0
132,best,101.0,470887,너는내운명_신세진,133.0,9.97,5060,0
133,best,101.0,519543,스푸키,97.0,9.99,3472,0
134,best,101.0,404166,윤혜원,118.0,9.98,8910,0
135,best,101.0,502049,차수인,67.0,9.96,2520,0
136,best,101.0,211761,瑜花,72.0,9.97,1202,0
137,best,101.0,506393,몽연서,11.0,9.99,11935,0
138,best,101.0,374685,이옴,0.0,0.0,4512,1
139,best,101.0,285587,크루즈,58.0,9.95,7679,0
140,best,101.0,434212,탐이나,107.0,9.96,6976,2
141,best,101.0,275206,올리비에,173.0,9.99,8547,0
142,best,101.0,391634,mju:z,89.0,9.99,10014,0
143,best,101.0,126085,FLEUR,105.0,9.98,6861,0
144,best,101.0,425873,Lee Jihye,8.0,9.93,2451,0
145,best,101.0,509076,금치,8.0,9.88,5799,1
146,best,101.0,504146,혜안慧眼,30.0,9.99,2475,0
147,best,101.0,525910,뿌낭,14.0,9.82,1423,0
148,best,101.0,360730,지악희,123.0,9.99,689,0
149,best,101.0,183564,김하림,1.0,10.0,2541,0
150,best,101.0,526291,Y.A,8.0,9.96,2929,0
151,best,101.0,490335,김하림,2.0,9.82,601,0
152,best,101.0,371227,민트색라임,53.0,9.96,4051,0
153,best,101.0,425694,고양이케이크,105.0,9.94,3925,0
154,best,101.0,329691,채홍(彩虹),1.0,9.93,3194,0
155,best,101.0,451833,닐라(neila),117.0,9.99,6391,1
156,best,101.0,502326,파란딱지,8.0,9.98,5353,0
157,best,101.0,398463,최고운,11.0,9.99,3250,0
158,best,101.0,411183,이 정,30.0,9.97,5577,0
