,level,genre,ID,name,episode_total,likeit
166,best,101,505015,화이트진,10,644
167,best,101,366765,은아란(silveraran86),69,380
168,best,101,485480,초록 물고기,101,679
169,best,101,407800,규올,88,93
170,best,101,452166,블루시연,52,380
171,best,101,487571,가을s,84,889
172,best,101,389183,주리안,2,1117
173,best,101,196107,김하림,99,411
174,best,101,11916,이른봄,8,1993
175,best,101,499199,초록 물고기,105,268
176,best,101,485027,Naru*,1,2020
177,best,101,518005,거림민,80,279
178,best,101,436878,로즈빈,8,4430
179,best,101,496329,서림*,83,992
180,best,101,511452,하수영,10,1365
181,best,101,350895,낡은키보드,113,706
182,best,101,394494,이른비,109,1376
183,best,101,429702,여우비Rain,102,314
184,best,101,422010,남꽃분,1,698
185,best,101,366006,체크인,3,779
186,best,101,405541,사지현,9,899
187,best,101,262707,은차현,1,355
188,best,101,427340,반지영,8,654
189,best,101,471017,휜느,9,568
190,best,101,110067,이은소,76,51
191,best,101,12877,황이정,87,515
192,best,101,500688,배누리*,5,808
193,best,101,268129,난슬,116,1783
194,best,101,504591,달바다.,70,341
195,best,101,375350,비타민♥,103,1021
196,best,101,475727,뿌아종,106,1533
197,best,101,408776,유아현,6,964
198,best,101,409943,윤혜원,61,463
199,best,101,417421,옐로피쉬,7,1233
200,best,101,462969,목당,90,496
201,best,101,525735,청춘망고,86,348
202,best,101,143210,가을s,4,1380
203,best,101,406260,크리쉬,2,2080
204,best,101,475961,데니즐리,123,1127
205,best,101,378668,파란딱지,105,2067
206,best,101,430661,작가이미르,110,1507
207,best,101,250367,호텔아프리카,8,434
208,best,101,501002,블 루 스 카 이,117,699
209,best,101,485192,Red Kiss,97,304
210,best,101,246738,파란수국,102,1110
211,best,101,427092,파란수국,101,1692
212,best,101,496566,진이현,9,343
213,best,101,491784,안정원,5,517
214,best,101,175183,푸른소리,7,1452
215,best,101,115949,장미(張美),139,1198
216,best,101,471841,하수영,3,923
217,best,101,335437,맥끈,6,506
218,best,101,286895,Ladybuck Studio,10,1137
219,best,101,466825,뚜이 .,21,569
220,best,101,387226,김지유,7,742
221,best,101,511612,블 루 스 카 이,8,606
222,best,101,455288,RIYA,5,830
223,best,101,428479,la Lune,11,939
224,best,101,456136,블랑슈,95,320
225,best,101,255438,이른봄,140,3320
226,best,101,459905,요귀염이,6,744
227,best,101,452783,작은따옴표,2,947
228,best,101,523063,윤보라.,79,267
229,best,101,403786,담우,71,681
230,best,101,242268,pinky,15,541
231,best,101,210270,다노수,176,1254
232,best,101,308637,다노수,120,1021
233,best,101,481313,삼색냥,7,527
234,best,101,352161,다노수,94,546
