,ID,level,genre
0,547385,best,101.0
1,539286,best,101.0
2,138937,best,101.0
3,405685,best,101.0
4,539502,best,101.0
5,507429,best,101.0
6,533745,best,101.0
7,512707,best,101.0
8,519498,best,101.0
9,398075,best,101.0
10,495848,best,101.0
11,531028,best,101.0
12,521183,best,101.0
13,508392,best,101.0
14,346483,best,101.0
15,540184,best,101.0
16,536598,best,101.0
17,353459,best,101.0
18,407247,best,101.0
19,233214,best,101.0
20,529338,best,101.0
21,533887,best,101.0
22,535202,best,101.0
23,547121,best,101.0
24,489762,best,101.0
25,402565,best,101.0
26,272920,best,101.0
27,351993,best,101.0
28,527274,best,101.0
29,491876,best,101.0
30,546765,best,101.0
31,420462,best,101.0
32,530958,best,101.0
33,296333,best,101.0
34,472819,best,101.0
35,187701,best,101.0
36,527501,best,101.0
37,537213,best,101.0
38,388934,best,101.0
39,479423,best,101.0
40,546686,best,101.0
41,541213,best,101.0
42,523440,best,101.0
43,492973,best,101.0
44,89971,best,101.0
45,361300,best,101.0
46,495034,best,101.0
47,498329,best,101.0
48,528108,best,101.0
49,408936,best,101.0
50,538109,best,101.0
51,539450,best,101.0
52,479415,best,101.0
53,458846,best,101.0
54,536509,best,101.0
55,468312,best,101.0
56,263457,best,101.0
57,491599,best,101.0
58,496902,best,101.0
59,513083,best,101.0
60,409283,best,101.0
61,505657,best,101.0
62,408286,best,101.0
63,470391,best,101.0
64,364337,best,101.0
65,57618,best,101.0
66,512041,best,101.0
67,410217,best,101.0
68,221400,best,101.0
69,523598,best,101.0
70,242308,best,101.0
71,508428,best,101.0
72,426242,best,101.0
73,205491,best,101.0
74,97071,best,101.0
75,333567,best,101.0
76,89749,best,101.0
77,532969,best,101.0
78,293152,best,101.0
79,522990,best,101.0
80,481331,best,101.0
81,425239,best,101.0
82,464501,best,101.0
83,503631,best,101.0
84,532577,best,101.0
85,466329,best,101.0
86,466560,best,101.0
87,94006,best,101.0
88,435864,best,101.0
89,537950,best,101.0
90,529028,best,101.0
91,525752,best,101.0
92,390312,best,101.0
93,427497,best,101.0
94,541017,best,101.0
95,298787,best,101.0
96,518861,best,101.0
97,492903,best,101.0
98,527904,best,101.0
99,330701,best,101.0
100,492933,best,101.0
101,406141,best,101.0
102,531428,best,101.0
103,429866,best,101.0
104,331186,best,101.0
105,500996,best,101.0
106,396814,best,101.0
107,71386,best,101.0
108,284661,best,101.0
109,224412,best,101.0
110,365390,best,101.0
111,531464,best,101.0
112,465054,best,101.0
113,332617,best,101.0
114,526284,best,101.0
115,469641,best,101.0
116,470887,best,101.0
117,519543,best,101.0
118,404166,best,101.0
119,502049,best,101.0
120,211761,best,101.0
121,506393,best,101.0
122,374685,best,101.0
123,454447,best,101.0
124,285587,best,101.0
125,434212,best,101.0
126,275206,best,101.0
127,391634,best,101.0
128,126085,best,101.0
129,425873,best,101.0
130,509076,best,101.0
131,504146,best,101.0
132,525910,best,101.0
133,360730,best,101.0
134,183564,best,101.0
135,526291,best,101.0
136,490335,best,101.0
137,371227,best,101.0
138,425694,best,101.0
139,329691,best,101.0
140,451833,best,101.0
141,502326,best,101.0
142,398463,best,101.0
143,411183,best,101.0
144,70754,best,101.0
145,501306,best,101.0
146,271443,best,101.0
147,344651,best,101.0
148,358700,best,101.0
149,473393,best,101.0
150,505015,best,101.0
151,366765,best,101.0
152,485480,best,101.0
153,407800,best,101.0
154,452166,best,101.0
155,487571,best,101.0
156,389183,best,101.0
157,196107,best,101.0
158,11916,best,101.0
159,499199,best,101.0
160,485027,best,101.0
161,518005,best,101.0
162,436878,best,101.0
163,496329,best,101.0
164,377644,best,101.0
165,511452,best,101.0
166,350895,best,101.0
167,394494,best,101.0
168,429702,best,101.0
169,422010,best,101.0
170,366006,best,101.0
171,405541,best,101.0
172,262707,best,101.0
173,427340,best,101.0
174,471017,best,101.0
175,110067,best,101.0
176,12877,best,101.0
177,500688,best,101.0
178,268129,best,101.0
179,504591,best,101.0
180,375350,best,101.0
181,475727,best,101.0
182,408776,best,101.0
183,409943,best,101.0
184,417421,best,101.0
185,462969,best,101.0
186,525735,best,101.0
187,143210,best,101.0
188,406260,best,101.0
189,475961,best,101.0
190,378668,best,101.0
191,430661,best,101.0
192,250367,best,101.0
193,501002,best,101.0
194,485192,best,101.0
195,246738,best,101.0
196,427092,best,101.0
197,496566,best,101.0
198,411963,best,101.0
199,491784,best,101.0
200,175183,best,101.0
201,115949,best,101.0
202,471841,best,101.0
203,335437,best,101.0
204,286895,best,101.0
205,466825,best,101.0
206,387226,best,101.0
207,511612,best,101.0
208,455288,best,101.0
209,428479,best,101.0
210,456136,best,101.0
211,255438,best,101.0
212,459905,best,101.0
213,452783,best,101.0
214,523063,best,101.0
215,403786,best,101.0
216,242268,best,101.0
217,210270,best,101.0
218,308637,best,101.0
219,481313,best,101.0
220,352161,best,101.0
221,218959,best,101.0
222,215681,best,101.0
223,437101,best,101.0
224,459172,best,101.0
225,159392,best,101.0
226,242099,best,101.0
227,377750,best,101.0
228,391610,best,101.0
229,406576,best,101.0
230,414728,best,101.0
231,480899,best,101.0
232,428793,best,101.0
233,408958,best,101.0
234,473575,best,101.0
235,244700,best,101.0
236,483652,best,101.0
237,477775,best,101.0
238,495488,best,101.0
239,396134,best,101.0
