,ID,main_score,concern_count,episodes_count,comments_count
199,491784,9.99,1390,5,0
200,175183,9.96,5956,7,0
201,115949,9.98,6130,139,0
202,471841,9.95,1882,3,0
203,335437,9.98,1438,6,0
204,286895,9.99,3918,10,0
205,466825,9.98,1887,21,0
206,387226,9.98,2188,7,0
207,511612,9.98,2086,8,0
208,455288,9.96,3166,5,0
209,428479,9.98,3474,11,0
210,456136,9.81,1341,95,0
211,255438,9.99,11009,140,0
212,459905,9.99,2255,6,0
213,452783,9.97,4227,2,0
214,523063,9.93,2186,79,0
215,403786,9.98,2521,71,0
216,242268,9.97,2038,15,0
217,210270,9.97,6893,176,0
218,308637,9.99,4877,120,0
219,481313,9.95,1250,7,0
220,352161,9.96,2890,94,0
221,218959,9.96,2579,16,0
222,215681,9.99,5037,12,0
223,437101,9.98,10500,36,1
224,459172,9.86,1973,18,0
225,159392,9.92,14361,3,0
226,242099,9.99,2042,33,0
227,377750,9.55,4165,1,0
228,391610,9.99,1566,6,0
229,406576,9.99,4409,6,0
230,414728,9.94,6956,182,0
231,480899,9.95,4026,124,0
232,428793,9.97,5592,78,1
233,408958,9.97,2010,98,0
234,473575,9.99,3790,5,0
235,244700,9.98,18478,145,0
236,483652,9.93,574,57,0
237,477775,9.96,4573,54,0
238,495488,9.98,1286,7,0
239,396134,9.94,4130,11,0
240,399078,9.97,2593,134,0
241,409717,9.99,2733,41,0
242,396141,9.97,4737,69,0
243,40385,9.88,1188,173,0
244,323244,9.98,5967,7,0
245,396422,9.97,2763,6,0
246,464754,9.91,3396,6,0
247,331979,9.95,8135,194,0
248,95981,9.92,9744,229,0
249,115087,9.9,12494,116,0
250,496576,9.99,1641,74,0
251,129295,9.84,4311,4,0
252,342283,9.98,2953,86,0
253,332676,9.99,2169,15,0
254,89045,9.98,1847,74,0
255,379123,9.9,2502,68,0
256,465420,9.96,2004,70,0
257,180890,9.39,8206,3,0
258,196867,9.92,2251,13,0
259,425840,9.97,5084,4,0
260,461279,9.99,1645,83,0
261,420227,9.99,4775,7,0
262,467477,9.96,5264,7,0
263,221468,9.98,46868,250,4
264,394345,9.98,1975,10,0
265,235100,9.99,7859,88,0
266,375934,9.98,843,107,0
267,213429,9.99,9441,34,0
268,363983,9.99,4256,21,0
269,429384,9.99,1984,16,0
270,80051,9.77,4078,112,0
271,384688,9.9,3265,16,0
272,468602,9.87,975,103,0
273,339297,9.99,3626,84,0
274,434054,9.98,3004,68,0
275,419262,9.94,5505,7,0
276,295483,9.99,7253,10,0
277,8513,9.96,1263,63,0
278,193407,9.98,2639,144,0
279,457649,9.99,6519,1,0
280,463625,9.97,1939,115,0
281,332114,9.94,7214,10,0
282,459255,9.97,8334,8,1
283,212496,9.98,6640,9,0
284,468797,9.93,3927,32,0
285,418685,9.96,4287,135,0
286,309466,9.66,2166,1,0
287,210769,9.98,1551,16,0
288,242008,9.94,592,6,0
289,201390,9.4,2404,1,0
290,403888,9.99,2901,8,0
291,464497,9.97,1340,33,0
292,158190,9.97,3441,10,0
293,138488,9.96,3322,205,0
294,237175,9.97,6928,86,0
295,1305,9.94,4589,52,0
296,509803,9.98,1923,15,0
297,119229,0.0,1199,0,0
298,165993,9.92,6649,103,0
299,427001,9.97,6517,38,0
300,111649,9.92,1911,59,0
301,391540,9.96,2158,12,0
302,423592,9.97,2626,101,0
303,465064,9.98,3277,54,0
304,450314,9.98,2642,3,0
305,306648,9.99,6513,118,0
306,321889,9.65,6392,1,0
307,160631,9.97,5745,8,0
308,184701,9.96,3439,12,0
309,283425,9.95,4231,2,0
310,411783,9.93,3762,56,0
311,301879,9.92,1985,101,0
312,97896,9.95,4647,186,0
313,342054,9.96,2538,73,0
314,489894,9.99,1733,67,0
315,403038,9.99,2298,12,0
316,208892,9.95,13834,10,0
317,212423,9.99,1196,18,0
318,412738,9.99,3117,17,0
319,184825,9.96,24223,154,0
320,242800,9.99,4521,160,0
321,204437,9.91,3057,7,0
322,407273,9.98,4330,1,0
323,253683,9.92,4552,1,0
324,195441,9.99,3924,55,0
325,459929,8.2,1948,1,0
326,216953,9.98,5345,90,0
327,322507,9.6,1434,1,0
328,401641,9.97,4095,82,0
329,185112,9.8,5323,8,0
330,396706,9.97,10864,102,1
331,200455,9.73,4684,4,0
332,179753,9.97,4684,122,0
333,157904,9.99,6677,37,0
334,394233,9.98,11965,10,0
335,243918,9.96,5469,9,0
336,3705,9.97,3423,19,0
337,464827,9.88,504,57,0
338,400554,9.94,6732,2,0
339,160234,9.0,2838,1,0
340,301865,9.96,3638,129,0
341,428558,9.95,6666,128,0
342,335992,9.98,2342,74,0
343,241681,9.98,3289,3,0
344,321141,9.95,1493,15,0
345,348480,9.99,5371,92,0
346,286370,9.73,7775,5,0
347,270059,9.98,1227,58,0
348,297508,9.95,2196,1,0
349,241372,9.99,972,19,0
350,205552,9.75,6801,9,0
351,371570,9.98,3261,126,0
352,208969,9.94,8204,30,0
353,132484,9.95,13958,11,0
354,207375,9.94,2690,23,0
355,224588,9.99,3605,1,0
356,367188,9.96,3720,2,0
357,438060,9.92,1220,53,0
358,268811,9.97,11017,93,0
359,137378,9.95,15508,93,0
360,159943,9.73,14734,1,0
361,341822,9.99,16824,40,0
362,290489,9.99,3195,6,0
363,264631,9.99,6309,98,0
364,182917,9.97,2614,23,0
365,232526,9.98,16783,119,0
366,424242,9.99,2548,89,0
367,387429,9.93,1425,4,0
368,391767,9.95,1617,4,0
369,352187,9.98,533,5,0
370,239904,9.98,3187,18,0
371,275467,9.99,3345,138,0
372,219899,9.97,13279,99,0
373,301661,9.96,2321,55,0
374,204423,9.86,2892,5,0
375,196768,9.91,4626,8,0
376,206590,9.99,525,10,0
377,201838,9.95,2956,81,0
378,241795,9.92,1509,20,0
379,221470,9.93,8340,97,0
380,195683,9.94,4155,249,0
381,102061,9.95,2213,81,0
382,166674,9.88,2008,10,0
383,14920,9.83,6599,18,0
384,335327,9.99,5156,89,0
385,254855,9.98,7351,9,0
386,403312,9.99,1925,25,0
387,266842,9.99,12381,116,0
388,192864,9.91,2870,19,0
389,224260,9.99,8609,163,0
390,196739,9.9,2483,155,0
391,313546,9.96,4947,16,0
392,311677,9.97,6712,10,0
393,216936,9.95,7163,209,0
394,385969,9.99,3572,109,0
395,211863,9.98,9087,14,0
396,153099,9.58,1312,8,0
397,248871,9.97,1762,13,0
398,241879,9.95,272,20,0
399,416512,9.95,5840,10,0
400,186845,9.87,2239,10,0
401,329745,9.97,2159,6,0
402,198176,0.0,2906,0,0
403,193677,9.97,5250,121,0
404,199905,9.87,1794,74,0
405,380411,9.99,3692,57,0
406,192186,9.99,1620,27,0
407,387962,9.99,2631,83,0
408,200317,9.94,3798,7,0
409,207055,9.97,12709,103,0
410,228700,9.87,2453,9,0
411,178786,9.96,5053,32,0
412,4219,9.94,3563,58,0
413,322064,9.99,2212,139,0
414,160307,9.94,4576,145,0
415,160425,9.94,12623,66,0
416,244224,9.91,2143,7,0
417,258752,9.99,4035,10,0
418,236500,9.99,5796,216,0
419,215972,9.95,4347,75,0
420,241357,9.98,254,11,0
421,332550,9.98,3858,5,0
422,130749,9.87,2134,70,0
423,221045,9.98,16069,89,0
424,166170,9.96,10284,111,0
425,108410,9.98,13807,80,0
426,259407,9.98,3081,10,0
427,336855,9.99,2778,65,0
428,385491,9.94,2681,1,0
429,144436,9.61,3406,151,0
430,168124,9.94,4770,72,0
431,153517,9.84,6307,41,0
432,271931,9.99,7574,1,0
433,178432,9.92,650,63,0
434,263889,9.98,8408,125,0
435,198723,9.96,1267,11,0
436,196646,9.92,1957,32,0
437,343394,9.96,733,16,0
438,196293,9.92,4168,126,0
439,247382,9.7,2489,134,0
440,133566,9.97,4063,14,0
441,124862,9.87,1868,7,0
442,199265,9.97,3019,64,0
443,201507,9.99,12633,199,1
444,173827,9.97,1190,13,0
445,261392,9.99,3528,167,0
446,189351,9.92,1223,45,0
447,131961,9.94,1319,55,0
448,216381,9.99,4032,28,0
449,207470,9.88,8971,32,0
450,33458,10.0,6292,1,0
451,96060,9.76,3024,334,0
452,279749,9.95,2146,3,0
453,213426,9.96,7190,149,0
