,ID,level,genre,main_score,concern_count,episodes_count,comments_count
0,547385,best,101.0,9.99,1711,58,1
1,539286,best,101.0,9.91,497,33,6
2,138937,best,101.0,9.99,3781,38,0
3,405685,best,101.0,9.98,2219,89,0
4,539502,best,101.0,9.96,2547,69,2
5,507429,best,101.0,9.95,423,17,0
6,533745,best,101.0,9.98,8546,101,1
7,512707,best,101.0,9.98,4217,73,0
8,519498,best,101.0,9.96,4154,95,0
9,398075,best,101.0,9.82,1982,317,0
10,495848,best,101.0,9.97,2886,57,1
11,531028,best,101.0,9.99,2971,85,5
12,521183,best,101.0,10.0,7692,72,3
13,508392,best,101.0,9.99,5607,114,3
14,346483,best,101.0,9.6,4789,33,0
15,540184,best,101.0,9.97,4624,93,4
16,536598,best,101.0,9.99,2137,47,2
17,353459,best,101.0,9.99,3542,49,0
18,407247,best,101.0,9.98,3422,94,2
19,233214,best,101.0,9.96,3251,43,1
20,529338,best,101.0,9.99,4614,108,4
21,533887,best,101.0,9.99,3727,81,1
22,535202,best,101.0,9.99,4623,23,3
23,547121,best,101.0,9.97,8138,125,16
24,489762,best,101.0,9.99,7101,80,4
25,402565,best,101.0,9.8,1298,232,0
26,272920,best,101.0,9.98,10350,80,0
27,351993,best,101.0,9.85,1316,187,3
28,527274,best,101.0,10.0,2010,202,2
29,491876,best,101.0,9.98,2156,121,9
30,546765,best,101.0,9.95,2627,36,0
31,420462,best,101.0,9.99,6713,93,0
32,530958,best,101.0,9.99,5226,89,4
33,296333,best,101.0,9.99,1423,39,1
34,472819,best,101.0,9.99,1697,16,0
35,187701,best,101.0,9.87,10052,278,1
36,527501,best,101.0,9.98,12289,44,5
37,537213,best,101.0,9.98,2692,73,0
38,388934,best,101.0,9.85,6894,22,1
39,479423,best,101.0,9.99,3486,32,2
40,546686,best,101.0,9.93,2129,23,0
41,541213,best,101.0,9.99,4083,27,2
42,523440,best,101.0,10.0,2929,74,0
43,492973,best,101.0,9.98,2914,80,5
44,89971,best,101.0,9.89,3755,174,0
45,361300,best,101.0,10.0,2622,5,0
46,495034,best,101.0,9.91,3112,106,0
47,498329,best,101.0,9.98,8239,74,1
48,528108,best,101.0,9.94,4845,70,6
49,408936,best,101.0,9.84,2081,67,0
50,538109,best,101.0,9.99,2297,41,2
51,539450,best,101.0,10.0,2269,34,1
52,479415,best,101.0,9.99,5363,146,0
53,458846,best,101.0,9.93,2634,6,2
54,536509,best,101.0,9.94,2298,9,3
55,468312,best,101.0,9.97,4176,91,0
56,263457,best,101.0,9.98,1444,204,4
57,491599,best,101.0,9.99,2943,7,0
58,496902,best,101.0,9.92,12105,66,3
59,513083,best,101.0,9.98,2634,70,0
60,409283,best,101.0,9.98,7047,88,3
61,505657,best,101.0,9.94,717,24,0
62,408286,best,101.0,9.98,1433,126,0
63,470391,best,101.0,9.84,606,44,0
64,364337,best,101.0,9.96,5479,37,1
65,57618,best,101.0,9.98,14295,57,0
66,512041,best,101.0,10.0,5140,6,5
67,410217,best,101.0,9.93,412,99,0
68,221400,best,101.0,9.88,7909,80,0
69,523598,best,101.0,9.97,7686,68,0
70,242308,best,101.0,9.99,4201,164,0
71,508428,best,101.0,9.96,1557,64,0
72,426242,best,101.0,9.99,9023,96,0
73,205491,best,101.0,9.85,7379,112,0
74,97071,best,101.0,9.97,25246,141,15
75,333567,best,101.0,9.97,9749,138,1
76,89749,best,101.0,9.88,3793,83,1
77,532969,best,101.0,9.99,5459,117,2
78,293152,best,101.0,9.94,4923,110,4
79,522990,best,101.0,9.99,4621,87,0
80,481331,best,101.0,0.0,2416,0,1
81,425239,best,101.0,9.73,4965,44,0
82,464501,best,101.0,9.97,7310,53,0
83,503631,best,101.0,9.98,5636,155,0
84,532577,best,101.0,9.99,3026,61,0
85,466329,best,101.0,9.99,3787,85,4
86,466560,best,101.0,9.99,4181,85,0
87,94006,best,101.0,9.96,2937,70,0
88,435864,best,101.0,9.94,1701,134,0
89,537950,best,101.0,10.0,2334,3,0
90,529028,best,101.0,9.98,2752,137,0
91,525752,best,101.0,9.98,9254,5,5
92,390312,best,101.0,9.83,1934,49,0
93,427497,best,101.0,9.98,4083,40,1
94,541017,best,101.0,9.96,1280,65,0
95,298787,best,101.0,9.96,4183,162,0
96,518861,best,101.0,9.99,5850,13,8
97,492903,best,101.0,9.99,3503,12,0
