,ID,main_score,concern_count,comments_count
228,466372,9.89,5829,29
229,252941,9.42,6466,11
230,456727,9.97,18764,34
231,505107,9.95,9160,37
232,538923,9.94,4668,5
233,466392,9.95,6889,20
234,538925,9.88,4116,21
235,433837,9.92,4474,12
236,538926,9.96,3485,9
237,398095,9.91,5470,14
238,272505,9.94,4799,16
239,252942,9.28,1093,0
240,291783,8.29,662,1
