,level,genre,ID,name,episode_total,main_score,concern_count,comments_count
99,webnovel,101.0,473136,백나나,5.0,9.94,13182,11
100,webnovel,101.0,63068,3B연필,60.0,9.7,14740,0
101,webnovel,101.0,50842,김지율,15.0,9.88,14495,0
102,webnovel,101.0,215393,닻별,5.0,9.95,14087,1
103,webnovel,101.0,333314,허사린,5.0,9.92,10737,3
104,webnovel,101.0,423619,김나림,5.0,9.94,9349,11
105,webnovel,101.0,374463,김정화(카밀),5.0,9.94,12044,4
106,webnovel,101.0,423621,유오디아,5.0,9.91,10142,13
107,webnovel,101.0,374459,정경윤,5.0,9.87,8505,14
108,webnovel,101.0,153302,허사린,7.0,9.9,12490,1
109,webnovel,101.0,231620,정경윤,5.0,9.94,8125,0
110,webnovel,101.0,307728,이경하,9.0,9.94,8476,1
111,webnovel,101.0,73177,AuthenticA,5.0,9.91,12270,1
112,webnovel,101.0,188282,유세라,5.0,9.93,10762,1
113,webnovel,101.0,231623,유오디아,9.0,9.92,14152,0
114,webnovel,101.0,361652,백우시,5.0,9.93,9579,12
115,webnovel,101.0,456726,허사린,7.0,9.9,7178,10
116,webnovel,101.0,361649,훈자,5.0,9.82,8104,5
117,webnovel,101.0,456725,차소희,6.0,9.89,10101,25
118,webnovel,101.0,231619,채현,5.0,9.93,6949,0
119,webnovel,101.0,153310,정예인,5.0,9.71,13683,0
120,webnovel,101.0,456723,박지영,7.0,9.92,7062,12
121,webnovel,101.0,409348,어둠속양초,5.0,9.88,5800,22
122,webnovel,101.0,126773,이윤아,7.0,9.77,6075,0
123,webnovel,101.0,140735,청몽채화,7.0,9.89,12035,0
124,webnovel,101.0,63069,천지혜,3.0,9.55,8035,1
125,webnovel,101.0,272499,별에달이,10.0,9.62,6778,1
126,webnovel,101.0,126771,김민주,6.0,9.78,7223,3
127,webnovel,101.0,188292,미송,32.0,8.68,1685,0
128,webnovel,101.0,188295,제갈다솜,24.0,5.53,946,1
129,webnovel,101.0,291830,강하다,52.0,9.57,2530,3
130,webnovel,102.0,554032,손세희,8.0,9.93,11479,23
131,webnovel,102.0,532197,유세라,34.0,9.98,17453,46
132,webnovel,102.0,307731,박성호,200.0,9.94,28496,187
133,webnovel,102.0,374462,임경배,156.0,9.97,23139,66
134,webnovel,102.0,523289,김종일,44.0,9.93,11185,21
135,webnovel,102.0,523291,이희신,43.0,9.95,10635,38
136,webnovel,102.0,409354,일월랑,130.0,9.96,13424,44
137,webnovel,102.0,523293,은소로,43.0,9.98,8199,73
138,webnovel,102.0,409350,김영지,129.0,9.98,14557,237
139,webnovel,102.0,523287,청빙 최영진,43.0,9.98,6227,51
140,webnovel,102.0,494451,실탄,70.0,9.89,5354,21
141,webnovel,102.0,433833,황규영,113.0,9.96,7738,37
142,webnovel,102.0,514810,윤현승,52.0,9.96,5652,37
143,webnovel,102.0,398094,블로D,139.0,9.81,5416,18
144,webnovel,102.0,505103,레고밟았어,59.0,9.93,2492,36
145,webnovel,102.0,5,손제호,5.0,9.93,34126,3
146,webnovel,102.0,140732,캣츠아이&샤아드,11.0,9.94,39312,5
147,webnovel,102.0,348258,임혜,9.0,9.86,20798,19
148,webnovel,102.0,390143,유세라,10.0,9.95,19723,76
